county_id,amt,cont_cnt
19183,62042.0,431
19185,41798.0,102
19187,70719.0,642
19189,53267.0,433
19191,124553.0,559
19193,299135.0,1179
19195,124997.0,570
19197,46661.0,313
20001,36591.0,142
20003,16897.0,105
20005,27768.0,255
20007,9145.0,58
20009,112494.0,346
20011,7826.0,133
20013,22942.0,217
20015,295209.0,1262
20017,41365.0,226
20019,14410.0,24
20021,391720.0,549
20023,2540.0,25
20025,37066.0,193
20027,46163.0,193
20029,16477.0,178
20031,12938.0,124
20033,650.0,18
20035,29350.0,248
20037,294312.0,622
20039,4705.0,29
20041,35904.0,379
20043,16379.0,203
20045,542284.0,5140
20047,10446.0,119
20049,2526.0,27
20051,54219.0,300
20053,3342.0,32
20055,269170.0,551
20057,51778.0,449
20059,31577.0,477
20061,115636.0,890
20063,34255.0,117
20065,35311.0,42
20067,68881.0,122
20069,262188.0,733
20071,5495.0,75
20073,9217.0,70
20075,426.0,2
20077,10762.0,97
20079,52527.0,556
20081,21866.0,143
20083,44195.0,379
20085,112269.0,526
20087,214417.0,1637
20089,7813.0,103
20091,3870096.0,22763
20093,13014.0,59
20095,24685.0,157
20097,2820.0,24
20099,48653.0,258
20101,224485.0,386
20103,296873.0,2349
20105,8709.0,58
20107,20445.0,227
20109,64422.0,354
20111,30837.0,244
20113,30560.0,446
20115,50453.0,382
20117,14994.0,104
20119,21191.0,130
20121,192261.0,1497
20123,4336.0,63
20125,43546.0,299
20127,5495.0,60
20129,8893.0,73
20131,13834.0,76
20133,46541.0,178
20135,13391.0,134
20137,25906.0,78
20139,36953.0,309
20141,4530.0,53
20143,156047.0,917
20145,11517.0,141
20147,55714.0,113
20149,189855.0,954
20151,39316.0,191
20153,18977.0,156
20155,120245.0,778
20157,13759.0,135
20159,80229.0,481
20161,231938.0,1081
20163,17731.0,73
20165,16442.0,173
20167,18170.0,135
20169,143818.0,851
20171,53660.0,148
20173,4062907.0,13687
20175,83911.0,376
20177,481797.0,4483
20179,32250.0,23
20181,11249.0,131
20183,2136.0,17
20185,96570.0,196
20187,64769.0,108
20189,20159.0,204
20191,53479.0,374
20193,49701.0,345
20195,21604.0,193
20197,342921.0,2051
20199,12001.0,121
20201,28811.0,110
20203,4323.0,44
20205,30194.0,149
20207,18963.0,137
20209,409000.0,4023
21001,47949.0,365
21003,61760.0,183
21005,221004.0,992
21007,8881.0,88
21009,67515.0,387
21011,149016.0,511
21013,48974.0,250
21015,467018.0,3315
21017,293073.0,1445
21019,254333.0,1084
21021,102657.0,1364
21023,51107.0,328
21025,8226.0,93
21027,28872.0,485
21029,708351.0,4695
21031,54260.0,522
21033,54881.0,276
21035,111175.0,566
21037,235583.0,1829
21039,7600.0,43
21041,7063.0,242
21043,42545.0,477
21045,161578.0,382
21047,33829.0,343
21049,368740.0,1796
21051,84162.0,388
21053,38926.0,247
21055,17897.0,202
21057,40125.0,198
21059,157626.0,1215
21061,60836.0,598
21063,25107.0,251
21065,5781.0,94
21067,1497139.0,7187
21069,132231.0,501
21071,37554.0,173
21073,272246.0,1258
21075,9990.0,18
21077,14706.0,83
21079,99880.0,413
21081,57383.0,383
21083,161962.0,736
21085,17126.0,196
21087,35270.0,363
21089,250145.0,1125
21091,12622.0,112
21093,123573.0,1412
21095,56725.0,393
21097,87545.0,738
21099,13444.0,213
21101,77768.0,867
21103,223829.0,1625
21105,54747.0,191
21107,67182.0,417
21109,20170.0,78
21111,4655298.0,23001
21113,294914.0,1631
21115,37892.0,122
21117,2772713.0,4515
21119,29609.0,394
21121,127909.0,410
21123,29950.0,274
21125,169049.0,599
21127,35624.0,248
21129,9585.0,127
21131,5972.0,21
21133,8016.0,59
21135,40569.0,217
21137,191988.0,1538
21139,14825.0,127
21141,17767.0,136
21143,61682.0,292
21145,158573.0,891
21147,19381.0,51
21149,42425.0,534
21151,107007.0,1287
21153,15613.0,56
21155,32404.0,223
21157,106683.0,587
21159,13742.0,76
21161,62208.0,490
21163,50007.0,628
21165,30945.0,90
21167,89934.0,437
21169,61465.0,291
21171,31043.0,65
21173,139915.0,839
21175,19421.0,99
21177,20373.0,146
21179,74427.0,527
21181,94482.0,629
21183,23462.0,248
21185,1115811.0,6691
21187,58861.0,655
21189,4810.0,30
21191,53388.0,420
21193,19519.0,334
21195,130846.0,406
21197,8416.0,78
21199,169996.0,452
21201,29762.0,289
21203,24024.0,297
